gvkey,formyear,filename,subfolder,filetype,is_esef,esef_filetype,filing_date,size_bytes,size_mb,last_modified,created
220326,2023,529900BTXZALKUBU3387-2023-12-31-de.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/220326/2023/simona_Jahres-_2024-04-29_esef_xmls,ESEF,True,iXBRL/ESEF Instance XHTML file,2024-04-29,958270,0.9138774871826172,2025-02-01 04:35:03.086426,2025-02-01 04:35:03.125876
278436,2021,KALABE.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/278436/2021/yoc_Konzernabschluss_2022-05-10_esef_xmls,ESEF,True,ESEF Report XHTML file,2022-05-10,86833,0.0828104019165039,2025-02-01 10:41:06.166938,2025-02-01 10:41:06.226863
220326,2021,529900BTXZALKUBU3387-2021-12-31-de.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/220326/2021/simona_Jahres-_2022-05-24_esef_xmls,ESEF,True,iXBRL/ESEF Instance XHTML file,2022-05-24,812089,0.7744684219360352,2025-02-01 04:35:24.414535,2025-02-01 04:35:24.472018
278436,2021,JALABE.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/278436/2021/yoc_Jahresabschluss_2022-04-28_esef_xmls,ESEF,True,ESEF Report XHTML file,2022-04-28,119756,0.11420822143554688,2025-02-01 10:41:11.966962,2025-02-01 10:41:12.036467
220326,2020,simona.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/220326/2020/simona_Jahres-_2021-06-10_esef_xmls,ESEF,True,iXBRL/ESEF Instance XHTML file,2021-06-10,779985,0.7438516616821289,2025-02-01 04:35:34.383372,2025-02-01 04:35:34.425802
278436,2020,JABE.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/278436/2020/yoc_Jahres-_2021-07-22_esef_xmls,ESEF,True,ESEF Report XHTML file,2021-07-22,25085,0.02392292022705078,2025-02-01 10:41:16.216484,2025-02-01 10:41:16.263156
278436,2023,JALABE.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/278436/2023/yoc_Jahres-_2024-05-10_esef_xmls,ESEF,True,ESEF Report XHTML file,2024-05-10,1121348,1.0694007873535156,2025-02-01 10:40:36.502610,2025-02-01 10:40:36.545190
103176,2023,20_11_thyssenkrupp_AG_LB_ESEF-2023-09-30.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/103176/2023/thyssenkrupp_Jahres-_2024-01-23_esef_xmls,ESEF,True,ESEF Report XHTML file,2024-01-23,6736610,6.424531936645508,2025-01-31 22:09:25.469092,2025-01-31 22:09:25.593065
103176,2023,thyssenkrupp_AG_LB_ESEF-2023-09-30.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/103176/2023/thyssenkrupp_Jahres-_2024-01-23_esef_xmls,ESEF,True,ESEF Report XHTML file,2024-01-23,6736604,6.424526214599609,2025-01-31 22:09:32.531866,2025-01-31 22:09:32.577288
241788,2023,JA.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/241788/2023/masterflex_Jahres-_2024-04-10_esef_xmls,ESEF,True,ESEF Report XHTML file,2024-04-10,3744730,3.5712528228759766,2025-02-01 08:08:31.680185,2025-02-01 08:08:31.699133
